station_id,station_name,phase,sequence_order,sensor_tier,sensors_available,baseline_cycle_time_sec,upstream,baseline_throughput_uph
ST01,Coil Feed & Blanking,Stamping,1,rich,"cycle_time,vibration,torque",35.0,,102.9
ST02,Main Body Press 2500T,Stamping,2,rich,"cycle_time,vibration,temperature,torque",38.0,ST01,94.7
ST03,Side Aperture Draw Press,Stamping,3,rich,"cycle_time,vibration,torque",40.0,ST02,90.0
ST04,Door Inner Trim & Pierce,Stamping,4,partial,"cycle_time,vibration",36.0,ST03,100.0
ST05,Hood & Tailgate Stamping,Stamping,5,rich,"cycle_time,vibration,torque",42.0,ST04,85.7
ST06,Stamped Panel Inspection,Stamping,6,manual,,45.0,ST05,80.0
B01,Underbody Front Laser Weld,Body Framing,7,rich,"cycle_time,torque,vibration",42.0,ST06,85.7
B02,Battery Tray Framing,Body Framing,8,rich,"cycle_time,torque,vibration",44.0,B01,81.8
B03,Floor Pan Spot Weld L1,Body Framing,9,rich,"cycle_time,torque,vibration",39.0,B02,92.3
B04,Floor Pan Spot Weld L2,Body Framing,10,rich,"cycle_time,torque,vibration",41.0,B03,87.8
B05,Left Aperture Sub-framing,Body Framing,11,rich,"cycle_time,torque,vibration",43.0,B04,83.7
B06,Right Aperture Sub-framing,Body Framing,12,rich,"cycle_time,torque,vibration",43.0,B05,83.7
B07,Main Robogate Framing,Body Framing,13,rich,"cycle_time,torque,vibration,temperature",46.0,B06,78.3
B08,Roof Laser Brazing,Body Framing,14,rich,"cycle_time,torque,vibration",38.0,B07,94.7
B09,Door Hang & Hinge Align,Body Framing,15,partial,"cycle_time,torque",42.0,B08,85.7
B10,Hood & Liftgate Fitment,Body Framing,16,partial,"cycle_time,torque",40.0,B09,90.0
B11,Inline Laser CMM Metrology,Body Framing,17,rich,"cycle_time,vibration,temperature",48.0,B10,75.0
B12,BIW Manual Touch-Up,Body Framing,18,manual,,50.0,B11,72.0
P01,Pre-treatment Degrease,Paint,19,partial,"cycle_time,temperature",48.0,B12,75.0
